Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-04-11,106.720001,107.040001,105.440002,106.160004,106.160004,2359750,291
2019-04-12,106.879997,107.199997,106.239998,106.400002,106.400002,2317625,292
2019-04-15,105.839996,106.32,105.120003,105.919998,105.919998,1979563,293
2019-04-16,105.839996,107.040001,105.040001,106.959999,106.959999,1681163,294
2019-04-17,107.040001,107.120003,106.080002,106.239998,106.239998,1932463,295
2019-04-18,106.400002,106.720001,105.839996,106.559998,106.559998,1549138,296
2019-04-22,108.879997,109.760002,108.800003,109.360001,109.360001,2547713,297
2019-04-23,109.760002,110.879997,109.68,110.32,110.32,2315425,298
2019-04-24,110.480003,110.559998,109.279999,109.440002,109.440002,1879188,299
2019-04-25,109.519997,109.839996,108,108.239998,108.239998,2195313,300
2019-04-26,107.040001,107.120003,103.68,104.720001,104.720001,5269263,301
2019-04-29,105.199997,106,104.400002,105.839996,105.839996,2926275,302
2019-04-30,106.800003,106.879997,105.440002,106.32,106.32,2096425,303
2019-05-01,106.239998,106.480003,104.480003,105.760002,105.760002,3221438,304
2019-05-02,103.360001,103.519997,101.519997,102.559998,102.559998,5288613,305
2019-05-03,102.959999,104.080002,102.800003,102.959999,102.959999,3274225,306
2019-05-06,102.32,104.879997,102.32,104.559998,104.559998,4741500,307
2019-05-07,102.239998,102.800003,101.040001,101.839996,101.839996,3743113,308
2019-05-08,102.239998,103.839996,102,103.120003,103.120003,2893750,309
2019-05-09,102.559998,102.959999,101.440002,102.480003,102.480003,2399013,310
2019-05-10,102.400002,103.440002,102.32,102.720001,102.720001,2353613,311
2019-05-13,105.120003,105.519997,101.120003,101.440002,101.440002,4848838,312
2019-05-14,102.720001,103.599998,102.480003,102.959999,102.959999,2536025,313
2019-05-15,102.160004,104.080002,102.080002,103.760002,103.760002,2752538,314
2019-05-16,104.800003,105.919998,104.639999,105.120003,105.120003,2457738,315
2019-05-17,105.279999,106.080002,104.239998,104.639999,104.639999,2948463,316
2019-05-20,104.959999,105.760002,104.239998,105.199997,105.199997,2682613,317
2019-05-21,104.879997,105.360001,104.400002,105.040001,105.040001,1840013,318
2019-05-22,103.919998,104.400002,101.519997,101.919998,101.919998,3444325,319
2019-05-23,98.959999,98.959999,95.360001,96.720001,96.720001,5696450,320
2019-05-24,97.760002,97.919998,95.599998,97.839996,97.839996,2690888,321
2019-05-28,98.959999,98.959999,97.599998,97.839996,97.839996,2925488,322
2019-05-29,96.239998,98.239998,94.639999,97.919998,97.919998,4513238,323
2019-05-30,98.239998,98.32,93.760002,94.080002,94.080002,3688588,324
2019-05-31,91.599998,92.32,88.32,88.800003,88.800003,5039950,325
2019-06-03,90.400002,90.559998,87.68,87.919998,87.919998,4144100,326
2019-06-04,88.559998,89.519997,87.599998,89.279999,89.279999,2809363,327
2019-06-05,88.080002,88.160004,84.239998,86.160004,86.160004,5199913,328
2019-06-06,85.919998,88.720001,85.199997,88.480003,88.480003,3949350,329
2019-06-07,87.760002,90.400002,87.599998,89.839996,89.839996,3269400,330
2019-06-10,89.839996,90.800003,88.32,88.879997,88.879997,2936625,331
2019-06-11,89.519997,89.760002,88.32,88.879997,88.879997,2360613,332
2019-06-12,87.040001,87.199997,84.559998,85.120003,85.120003,4382650,333
2019-06-13,88.559998,88.639999,86.480003,87.040001,87.040001,4366050,334
2019-06-14,87.360001,88.32,86.879997,87.519997,87.519997,3216363,335
2019-06-17,86.800003,87.599998,86,86.480003,86.480003,3940363,336
2019-06-18,87.919998,90.480003,87.68,90,90,4511600,337
2019-06-19,89.120003,90.720001,88.800003,90.639999,90.639999,5144688,338
2019-06-20,93.519997,95.199997,93.040001,94.800003,94.800003,5822450,339
2019-06-21,94.879997,95.839996,94.800003,95.760002,95.760002,3071975,340
2019-06-24,95.599998,96.32,94.160004,96.080002,96.080002,3329000,341
2019-06-25,96.32,96.879997,95.519997,96,96,2896213,342
2019-06-26,98.32,99.440002,98,98.32,98.32,4382438,343
2019-06-27,98.32,99.120003,98.080002,98.32,98.32,3304888,344
2019-06-28,98.639999,98.800003,95.839996,96.32,96.32,3607100,345
2019-07-01,99.519997,99.599998,96.879997,98.239998,98.239998,3904350,346
2019-07-02,97.68,97.68,93.120003,93.599998,93.599998,6164288,347
2019-07-03,94.480003,94.879997,93.199997,94.160004,94.160004,2461275,348
2019-07-05,94.879997,95.919998,94.559998,95.599998,95.599998,2838250,349
2019-07-08,96,97.040001,95.279999,95.440002,95.440002,3144800,350
2019-07-09,95.839996,96.400002,95.360001,96.32,96.32,1831988,351
2019-07-10,98.639999,100.559998,98.400002,100.239998,100.239998,4188488,352
2019-07-11,100.559998,101.040001,99.839996,100.400002,100.400002,2230188,353
2019-07-12,100.080002,100.639999,99.519997,100.160004,100.160004,1864188,354
2019-07-15,100.800003,100.879997,98.32,98.400002,98.400002,2717275,355
2019-07-16,98.959999,99.760002,94.879997,96.559998,96.559998,4500138,356
2019-07-17,96.879997,96.879997,93.919998,94,94,3774625,357
2019-07-18,94.32,94.400002,90.959999,92.480003,92.480003,4824113,358
2019-07-19,92.559998,93.519997,91.440002,93.360001,93.360001,3138538,359
2019-07-22,92.959999,93.68,92.639999,93.440002,93.440002,2999463,360
